지역코드,연도,논벼:10a당 생산량 (kg)
95,2013,463.3752
95,2014,594.4797
95,2015,572.03241
95,2016,576.00834
95,2017,522.44254
95,2018,573.88592
95,2019,551.66927
95,2020,445.32476
95,2021,578.5822
95,2022,508.4078
99,2013,483
99,2014,514
99,2015,546
99,2016,487
99,2017,480
99,2018,474
99,2019,467
99,2020,461
99,2021,525
99,2022,504
129,2013,539
129,2014,566
129,2015,547
129,2016,547
129,2017,527
129,2018,557
129,2019,537
129,2020,519
129,2021,589
129,2022,546
131,2013,538
131,2014,559
131,2015,565
131,2016,568
131,2017,526
131,2018,572
131,2019,553
131,2020,522
131,2021,540
131,2022,522
138,2013,469
138,2014,473
138,2015,513
138,2016,514
138,2017,513
138,2018,495
138,2019,471
138,2020,434
138,2021,520
138,2022,459
202,2013,457
202,2014,476
202,2015,480
202,2016,482
202,2017,468
202,2018,477
202,2019,468
202,2020,459
202,2021,482
202,2022,473
203,2013,491
203,2014,523
203,2015,528
203,2016,539
203,2017,511
203,2018,517
203,2019,516
203,2020,471
203,2021,541
203,2022,536
211,2013,447.92046
211,2014,475.67239
211,2015,498.0556
211,2016,505.12884
211,2017,499.44721
211,2018,525.03359
211,2019,505.14981
211,2020,381.109
211,2021,525.5556
211,2022,462.4553
217,2013,460.19116
217,2014,520.99404
217,2015,537.05537
217,2016,565.0012
217,2017,493.53224
217,2018,505.64663
217,2019,504.24604
217,2020,456.23426
217,2021,486.9875
217,2022,466.9925
245,2013,528
245,2014,556
245,2015,589
245,2016,578
245,2017,561
245,2018,546
245,2019,531
245,2020,506
245,2021,521
245,2022,524
261,2013,469
261,2014,473
261,2015,513
261,2016,514
261,2017,513
261,2018,495
261,2019,471
261,2020,434
261,2021,520
261,2022,459
262,2013,515
262,2014,506
262,2015,517
262,2016,513
262,2017,516
262,2018,492
262,2019,459
262,2020,439
262,2021,514
262,2022,483
441,2013,466
441,2014,492
441,2015,510
441,2016,511
441,2017,508
441,2018,516
441,2019,469
441,2020,455
441,2021,522
441,2022,500
504,2013,407
504,2014,521
504,2015,535
504,2016,498
504,2017,452
504,2018,491
504,2019,484
504,2020,465
504,2021,522
504,2022,504
540,2013,440
540,2014,483
540,2015,485
540,2016,501
540,2017,451
540,2018,487
540,2019,463
540,2020,472
540,2021,517
540,2022,503
548,2013,462
548,2014,483
548,2015,512
548,2016,539
548,2017,484
548,2018,502
548,2019,501
548,2020,450
548,2021,513
548,2022,504
549,2013,490
549,2014,505
549,2015,526
549,2016,511
549,2017,483
549,2018,494
549,2019,497
549,2020,466
549,2021,516
549,2022,508
551,2013,464
551,2014,487
551,2015,503
551,2016,510
551,2017,504
551,2018,502
551,2019,495
551,2020,480
551,2021,513
551,2022,503
555,2013,455.06549
555,2014,513.64309
555,2015,545.2433
555,2016,491.5335
555,2017,499.49598
555,2018,534.10128
555,2019,512.89686
555,2020,440.20414
555,2021,507.0018
555,2022,500.2469
556,2013,372.21136
556,2014,523.07105
556,2015,539.14454
556,2016,516.67668
556,2017,523.2487
556,2018,544.95919
556,2019,513.79669
556,2020,375.05266
556,2021,521.967
556,2022,494.654
571,2013,469
571,2014,489
571,2015,525
571,2016,531
571,2017,456
571,2018,506
571,2019,486
571,2020,452
571,2021,497
571,2022,486
602,2013,511
602,2014,530
602,2015,544
602,2016,558
602,2017,525
602,2018,516
602,2019,501
602,2020,444
602,2021,486
602,2022,509
612,2013,523
612,2014,556
612,2015,550
612,2016,548
612,2017,533
612,2018,549
612,2019,543
612,2020,528
612,2021,554
612,2022,527
614,2013,575
614,2014,586
614,2015,591
614,2016,590
614,2017,570
614,2018,581
614,2019,587
614,2020,568
614,2021,574
614,2022,553
615,2013,512
615,2014,510
615,2015,547
615,2016,550
615,2017,532
615,2018,553
615,2019,546
615,2020,511
615,2021,566
615,2022,533
616,2013,579
616,2014,610
616,2015,602
616,2016,598
616,2017,566
616,2018,568
616,2019,538
616,2020,527
616,2021,595
616,2022,566
628,2013,570
628,2014,588
628,2015,609
628,2016,598
628,2017,561
628,2018,554
628,2019,543
628,2020,525
628,2021,593
628,2022,555
670,2013,484.76558
670,2014,499.7273
670,2015,521.11816
670,2016,531.00004
670,2017,413.32237
670,2018,444.25014
670,2019,504.41472
670,2020,427.08672
670,2021,515.7393
670,2022,478.7407
702,2013,542
702,2014,552
702,2015,574
702,2016,564
702,2017,558
702,2018,558
702,2019,553
702,2020,497
702,2021,523
702,2022,554
715,2013,425
715,2014,410
715,2015,476
715,2016,493
715,2017,447
715,2018,442
715,2019,427
715,2020,417
715,2021,458
715,2022,441
737,2013,553
737,2014,556
737,2015,587
737,2016,557
737,2017,557
737,2018,556
737,2019,555
737,2020,493
737,2021,510
737,2022,581
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,